product_id,product_name,category,brand,price,cost
P00064,Asus Smartphones Model 64,Smartphones,Acer,137059.0,83445.23
P00065,Xiaomi Gaming Model 65,Gaming,Huawei,75812.67,45828.64
P00066,Xiaomi Laptops Model 66,Laptops,Asus,122390.19,79073.78
P00067,Asus TV Model 67,TV,Asus,132240.55,75720.06
P00068,Asus Smartphones Model 68,Smartphones,Xiaomi,90934.17,53401.14
P00069,Apple TV Model 69,TV,Sony,22499.8,13388.71
P00070,Sony Gaming Model 70,Gaming,Huawei,116039.06,73653.13
P00071,Samsung Headphones Model 71,Headphones,Xiaomi,34914.76,24466.91
P00072,Xiaomi Smartphones Model 72,Smartphones,Xiaomi,80208.7,57540.98
P00073,Asus Smart Home Model 73,Smart Home,Sony,12860.32,9260.56
P00074,Acer Accessories Model 74,Accessories,Logitech,10865.28,7824.71
P00075,Asus TV Model 75,TV,Xiaomi,148022.07,91340.27
P00076,Apple TV Model 76,TV,Asus,128008.31,79690.09
P00077,Huawei Gaming Model 77,Gaming,Logitech,104784.22,83189.56
P00078,Sony TV Model 78,TV,Xiaomi,87470.99,50504.36
P00079,Apple Smartphones Model 79,Smartphones,Logitech,104905.36,78202.47
P00080,Xiaomi Laptops Model 80,Laptops,LG,110265.03,87740.79
P00081,LG Headphones Model 81,Headphones,Asus,35412.21,22554.51
P00082,Asus Laptops Model 82,Laptops,Samsung,187255.69,132255.02
P00083,Lenovo Headphones Model 83,Headphones,Huawei,9984.01,5876.74
P00084,Logitech Smartphones Model 84,Smartphones,Logitech,103279.38,76444.03
P00085,LG Laptops Model 85,Laptops,Huawei,164494.0,120756.68
P00086,Asus Smartphones Model 86,Smartphones,Asus,149207.47,97881.24
P00087,Acer Accessories Model 87,Accessories,Acer,12859.04,9721.15
P00088,Sony TV Model 88,TV,Xiaomi,91545.11,65371.53
P00089,Lenovo Smart Home Model 89,Smart Home,Acer,27032.53,19889.7
P00090,Sony Accessories Model 90,Accessories,Huawei,14432.7,11087.52
P00091,Lenovo TV Model 91,TV,Huawei,93060.64,70222.93
P00092,Lenovo Accessories Model 92,Accessories,Sony,672.22,389.3
P00093,Huawei Gaming Model 93,Gaming,LG,9410.14,5239.29
P00094,Sony Headphones Model 94,Headphones,Sony,39401.93,27012.88
P00095,Xiaomi TV Model 95,TV,Asus,71487.51,45313.46
P00096,Apple Headphones Model 96,Headphones,Huawei,21671.98,15127.06
P00097,LG TV Model 97,TV,Logitech,144299.83,99683.59
P00098,Sony Headphones Model 98,Headphones,Logitech,17556.7,10670.81
P00099,Xiaomi TV Model 99,TV,LG,179372.31,120618.28
P00100,Logitech Smartphones Model 100,Smartphones,Logitech,137143.92,103493.95
P00101,Samsung Gaming Model 101,Gaming,LG,30344.79,20178.2
P00102,Huawei TV Model 102,TV,Samsung,144749.5,100651.74
P00103,Huawei Gaming Model 103,Gaming,Acer,119830.39,83531.52
P00104,Sony Laptops Model 104,Laptops,Samsung,151880.46,112686.63
P00105,LG TV Model 105,TV,Huawei,57637.53,44307.58
P00106,Lenovo Headphones Model 106,Headphones,Xiaomi,17141.87,9548.64
P00107,Samsung Gaming Model 107,Gaming,Asus,26126.58,15864.88
P00108,LG Headphones Model 108,Headphones,Asus,8734.94,6224.74
P00109,Asus TV Model 109,TV,Logitech,76991.55,50030.56
P00110,Sony Gaming Model 110,Gaming,Acer,32124.21,23230.17
P00111,Logitech Smart Home Model 111,Smart Home,Sony,43722.64,24266.12
P00112,Lenovo Smart Home Model 112,Smart Home,LG,5461.08,3648.25
P00113,Apple TV Model 113,TV,Samsung,137175.85,78166.31
P00114,Sony Smart Home Model 114,Smart Home,Huawei,23257.68,13949.05
P00115,Sony Smart Home Model 115,Smart Home,Huawei,39100.9,22248.89
P00116,Xiaomi Accessories Model 116,Accessories,Sony,11430.48,8805.34
P00117,Samsung Headphones Model 117,Headphones,Asus,2201.5,1616.66
P00118,Xiaomi Accessories Model 118,Accessories,Sony,1166.75,810.86
P00119,Huawei Gaming Model 119,Gaming,Acer,81712.85,52172.15
P00120,Acer Headphones Model 120,Headphones,Asus,33268.51,20416.89
P00121,Apple Smart Home Model 121,Smart Home,Lenovo,27208.64,19669.83
P00122,Logitech Gaming Model 122,Gaming,Apple,114754.37,85323.99
P00123,Asus Smart Home Model 123,Smart Home,Logitech,45374.28,35113.28
P00124,Samsung Headphones Model 124,Headphones,Acer,17063.43,13316.36
P00125,Apple Headphones Model 125,Headphones,Asus,15743.76,10941.94
P00126,Asus TV Model 126,TV,Lenovo,54952.95,41215.63
P00127,Samsung Headphones Model 127,Headphones,Logitech,36683.61,20678.22
P00128,Lenovo TV Model 128,TV,Asus,54460.31,36929.62
P00129,Asus Gaming Model 129,Gaming,Logitech,71488.65,49031.02
P00130,Acer Accessories Model 130,Accessories,Asus,11911.0,7478.51
P00131,Lenovo Accessories Model 131,Accessories,Asus,7276.7,4285.86
P00132,LG TV Model 132,TV,LG,138196.98,76960.8
P00133,LG Smart Home Model 133,Smart Home,Samsung,2057.53,1578.74
P00134,Asus Accessories Model 134,Accessories,Lenovo,10129.05,7119.83
P00135,Lenovo Gaming Model 135,Gaming,Xiaomi,52872.92,31142.79
P00136,Asus Smart Home Model 136,Smart Home,Logitech,55154.99,42052.67
P00137,Asus Smartphones Model 137,Smartphones,Apple,147678.34,81481.18
P00138,Lenovo Smartphones Model 138,Smartphones,Apple,128664.69,101188.06
P00139,LG Headphones Model 139,Headphones,Sony,18540.35,12288.75
P00140,Lenovo Headphones Model 140,Headphones,Huawei,15648.47,11956.32
P00141,Sony Laptops Model 141,Laptops,Logitech,197424.53,143526.23
P00142,Lenovo Laptops Model 142,Laptops,Logitech,133898.07,87296.16
P00143,Samsung TV Model 143,TV,Xiaomi,172719.36,124605.95
P00144,Lenovo Laptops Model 144,Laptops,Asus,190133.08,124254.91
P00145,LG Smart Home Model 145,Smart Home,Huawei,54512.81,36140.39
P00146,Acer Laptops Model 146,Laptops,Xiaomi,129389.21,98916.99
P00147,Xiaomi Smart Home Model 147,Smart Home,Sony,33388.08,22563.61
P00148,LG TV Model 148,TV,Sony,46164.19,26481.27
P00149,Samsung Gaming Model 149,Gaming,Xiaomi,107598.19,71109.5
P00150,LG Laptops Model 150,Laptops,Acer,65077.11,47014.22
P00151,Acer Smartphones Model 151,Smartphones,Samsung,87310.09,69677.76
P00152,Huawei Smart Home Model 152,Smart Home,Acer,16303.19,11980.45
P00153,Lenovo Accessories Model 153,Accessories,Sony,4659.39,2683.54
P00154,Huawei Smartphones Model 154,Smartphones,Logitech,29056.84,19373.12
P00155,Samsung Headphones Model 155,Headphones,Apple,5736.3,4548.66
P00156,LG Laptops Model 156,Laptops,Lenovo,210192.64,162246.65
P00157,Sony Laptops Model 157,Laptops,Huawei,120935.3,83392.74
P00158,Sony Laptops Model 158,Laptops,Samsung,70401.65,44805.42
P00159,Asus Headphones Model 159,Headphones,LG,6167.24,4187.46
P00160,Lenovo Smart Home Model 160,Smart Home,Sony,38484.73,25500.63
P00161,Huawei Headphones Model 161,Headphones,Asus,13994.25,7826.66
P00162,Sony Headphones Model 162,Headphones,Samsung,23867.74,18057.68
P00163,Apple Accessories Model 163,Accessories,Logitech,9336.52,6712.96
P00164,Asus Smart Home Model 164,Smart Home,Acer,2662.66,1673.0
P00165,Xiaomi Laptops Model 165,Laptops,Samsung,181102.69,122915.0
P00166,Apple Accessories Model 166,Accessories,Apple,11796.15,8294.17
P00167,Logitech Smart Home Model 167,Smart Home,LG,53224.76,38696.4
P00168,Xiaomi Smart Home Model 168,Smart Home,LG,38998.3,30742.98
P00169,Xiaomi Smart Home Model 169,Smart Home,Samsung,2521.67,1786.2
P00170,Asus Smart Home Model 170,Smart Home,Samsung,34909.66,20717.15
P00171,Sony Smartphones Model 171,Smartphones,Apple,94911.59,65222.63
P00172,Sony Gaming Model 172,Gaming,Lenovo,43791.55,32681.43
P00173,Sony Accessories Model 173,Accessories,Lenovo,4450.5,2699.36
P00174,Asus TV Model 174,TV,Xiaomi,135772.51,102829.35
P00175,Sony Accessories Model 175,Accessories,Acer,1703.97,986.37
P00176,Logitech Laptops Model 176,Laptops,Lenovo,71150.38,45548.0
P00177,Xiaomi Gaming Model 177,Gaming,Apple,53133.36,34518.1
P00178,LG Smart Home Model 178,Smart Home,LG,8910.6,5809.73
P00179,LG TV Model 179,TV,Logitech,83576.95,51108.45
P00180,Logitech Smartphones Model 180,Smartphones,Sony,56681.65,35972.48
P00181,Samsung Gaming Model 181,Gaming,Asus,66616.89,47446.91
P00182,Lenovo TV Model 182,TV,Xiaomi,96040.78,57981.76
P00183,LG Smartphones Model 183,Smartphones,LG,58295.05,46079.81
P00184,Apple Laptops Model 184,Laptops,Sony,209198.13,147670.32
P00185,Asus TV Model 185,TV,Lenovo,33378.16,23242.01
P00186,Sony Gaming Model 186,Gaming,Logitech,117457.56,88303.42
P00187,Logitech Smart Home Model 187,Smart Home,Sony,15827.91,10871.97
P00188,Xiaomi Smart Home Model 188,Smart Home,Apple,54416.34,31268.04
P00189,Samsung Accessories Model 189,Accessories,Acer,6422.46,4572.84
P00190,Logitech Laptops Model 190,Laptops,Huawei,236927.24,132124.59
P00191,Logitech Gaming Model 191,Gaming,Samsung,29692.15,23121.43
P00192,Apple Accessories Model 192,Accessories,Lenovo,4015.95,2734.11
P00193,Lenovo TV Model 193,TV,Apple,102560.85,75254.38
P00194,Apple Gaming Model 194,Gaming,Xiaomi,112970.01,90133.14
P00195,Apple Smartphones Model 195,Smartphones,Xiaomi,90239.88,63206.32
P00196,Lenovo Smartphones Model 196,Smartphones,Lenovo,73542.2,44153.6
P00197,Logitech Headphones Model 197,Headphones,Logitech,12525.25,7581.77
P00198,Acer TV Model 198,TV,Sony,73986.66,58124.87
P00199,Sony TV Model 199,TV,Xiaomi,111569.26,81123.34
P00200,Sony Accessories Model 200,Accessories,LG,1687.44,1058.99
P00201,Asus TV Model 201,TV,LG,111882.67,64044.57
P00202,Acer Headphones Model 202,Headphones,Acer,2174.81,1357.29
P00203,Sony Smart Home Model 203,Smart Home,Sony,33310.92,21013.55
P00204,LG Smart Home Model 204,Smart Home,Apple,25236.95,19746.92
P00205,Logitech Laptops Model 205,Laptops,LG,181511.61,106191.39
P00206,Huawei Headphones Model 206,Headphones,Xiaomi,23552.58,14231.63
P00207,Apple Headphones Model 207,Headphones,LG,17314.34,13293.87
P00208,Lenovo Headphones Model 208,Headphones,Sony,7401.56,5317.87
P00209,Samsung Smartphones Model 209,Smartphones,Sony,109659.13,84183.11
P00210,Sony Accessories Model 210,Accessories,Sony,9097.13,6733.5
P00211,Lenovo TV Model 211,TV,Lenovo,65135.87,46127.37
P00212,LG Laptops Model 212,Laptops,Apple,120650.83,91550.98
P00213,Acer Smartphones Model 213,Smartphones,Huawei,101578.05,57052.14
P00214,Apple TV Model 214,TV,Sony,25043.55,16487.48
P00215,LG Accessories Model 215,Accessories,Samsung,7169.69,5143.9
P00216,LG Smart Home Model 216,Smart Home,Xiaomi,10880.58,7060.82
P00217,Samsung TV Model 217,TV,Acer,146644.97,107112.62
P00218,Sony Gaming Model 218,Gaming,LG,10912.22,7884.16
P00219,Apple TV Model 219,TV,Xiaomi,147311.75,98668.24
P00220,Sony Gaming Model 220,Gaming,Acer,93551.31,59860.48
P00221,LG Laptops Model 221,Laptops,Huawei,32635.31,20807.64
P00222,Asus TV Model 222,TV,Xiaomi,167838.31,103386.66
P00223,Xiaomi Smart Home Model 223,Smart Home,Apple,39881.91,29003.35
P00224,Sony Smart Home Model 224,Smart Home,Huawei,16927.39,12382.75
P00225,Logitech Gaming Model 225,Gaming,Asus,108410.55,66690.84
P00226,Apple TV Model 226,TV,Acer,96858.9,56163.41
P00227,Logitech Smartphones Model 227,Smartphones,Asus,69453.19,55139.46
P00228,Acer TV Model 228,TV,Logitech,91978.35,62821.38
P00229,Sony Gaming Model 229,Gaming,Huawei,113301.61,63495.09
P00230,Lenovo Smartphones Model 230,Smartphones,Sony,142502.44,92393.98
P00231,Logitech Headphones Model 231,Headphones,Xiaomi,37293.35,23723.63
P00232,Asus Accessories Model 232,Accessories,Apple,10258.07,5780.29
P00233,Logitech Headphones Model 233,Headphones,Asus,10237.3,6410.15
P00234,Huawei Gaming Model 234,Gaming,Sony,89989.64,59910.01
P00235,Samsung Accessories Model 235,Accessories,Samsung,14717.84,9920.44
P00236,Logitech Smart Home Model 236,Smart Home,Sony,29818.38,19934.71
P00237,Sony Smartphones Model 237,Smartphones,Acer,36290.53,22424.38
P00238,Apple Smartphones Model 238,Smartphones,Acer,139965.92,85109.92
P00239,Logitech Laptops Model 239,Laptops,Samsung,164422.03,93769.13
P00240,Lenovo Headphones Model 240,Headphones,Xiaomi,3799.07,2188.46
P00241,Logitech Headphones Model 241,Headphones,LG,29772.71,18023.66
P00242,LG Gaming Model 242,Gaming,Acer,27244.45,15535.28
P00243,Lenovo Accessories Model 243,Accessories,Huawei,2241.01,1371.13
P00244,Huawei Smartphones Model 244,Smartphones,Logitech,102706.91,67327.5
P00245,Samsung Laptops Model 245,Laptops,Sony,71807.28,42867.11
P00246,Samsung Smart Home Model 246,Smart Home,Apple,4439.82,2595.98
P00247,Apple Laptops Model 247,Laptops,Huawei,160695.54,118740.4
P00248,Acer Laptops Model 248,Laptops,LG,220987.19,153145.99
P00249,Sony TV Model 249,TV,Huawei,125869.5,82146.5
P00250,Sony Headphones Model 250,Headphones,LG,36389.82,21640.65
P00251,Lenovo Laptops Model 251,Laptops,Sony,216403.54,168365.39
P00252,Logitech Smartphones Model 252,Smartphones,Logitech,136860.61,90506.34
P00253,Huawei Gaming Model 253,Gaming,Apple,33973.12,18874.19
P00254,Logitech Accessories Model 254,Accessories,Logitech,7524.17,4388.32
P00255,LG Headphones Model 255,Headphones,Lenovo,30311.39,17565.9
P00256,Xiaomi Smartphones Model 256,Smartphones,Huawei,115372.48,80642.91
P00257,Logitech Gaming Model 257,Gaming,Samsung,11698.0,8081.53
P00258,Samsung Smartphones Model 258,Smartphones,Asus,24816.01,14813.97
P00259,Samsung Smartphones Model 259,Smartphones,LG,97575.73,59123.38
P00260,Xiaomi Smart Home Model 260,Smart Home,Apple,15403.98,9130.31
P00261,Xiaomi Accessories Model 261,Accessories,Logitech,7276.03,5727.23
P00262,Sony Smart Home Model 262,Smart Home,LG,8481.67,6340.38
P00263,Logitech Headphones Model 263,Headphones,LG,36986.16,24834.57
P00264,Apple Laptops Model 264,Laptops,Xiaomi,102823.38,72185.49
P00265,Apple Headphones Model 265,Headphones,Xiaomi,32187.24,21358.38
P00266,Samsung TV Model 266,TV,Xiaomi,44517.17,29782.56
P00267,Asus Smartphones Model 267,Smartphones,Acer,79968.92,58187.6
P00268,LG Gaming Model 268,Gaming,Lenovo,111822.33,80602.53
P00269,Samsung Laptops Model 269,Laptops,Asus,33147.6,25603.44
P00270,Sony Laptops Model 270,Laptops,Huawei,61991.55,44782.65
P00271,Asus Accessories Model 271,Accessories,LG,11311.86,8549.93
P00272,Apple TV Model 272,TV,Samsung,109240.7,82169.52
P00273,Xiaomi Gaming Model 273,Gaming,LG,63674.52,50450.42
P00274,Apple Laptops Model 274,Laptops,Xiaomi,143547.09,93119.11
P00275,Asus Smart Home Model 275,Smart Home,Samsung,44173.52,32852.51
P00276,Asus TV Model 276,TV,Lenovo,57312.79,36048.53
P00277,Acer Laptops Model 277,Laptops,Xiaomi,153353.52,101155.86
P00278,Huawei Accessories Model 278,Accessories,Lenovo,3145.0,2113.32
P00279,Samsung Smartphones Model 279,Smartphones,Xiaomi,149569.48,109451.31
P00280,Acer TV Model 280,TV,Samsung,155677.67,108114.68
P00281,Lenovo Gaming Model 281,Gaming,Lenovo,6652.57,3693.61
P00282,Xiaomi Headphones Model 282,Headphones,Samsung,39757.95,23689.61
P00283,Lenovo Laptops Model 283,Laptops,Logitech,148820.55,84850.46
P00284,Sony Headphones Model 284,Headphones,Lenovo,5274.33,4019.81
P00285,Samsung Laptops Model 285,Laptops,Lenovo,172289.68,99548.61
P00286,Xiaomi Accessories Model 286,Accessories,LG,10831.37,7092.02
P00287,Logitech Smart Home Model 287,Smart Home,Asus,44178.51,33545.69
P00288,Sony Accessories Model 288,Accessories,Logitech,3105.75,2123.96
P00289,Logitech Laptops Model 289,Laptops,Samsung,129543.41,87791.02
P00290,Xiaomi Accessories Model 290,Accessories,Samsung,528.09,387.98
P00291,Logitech TV Model 291,TV,Sony,71099.47,50574.94
P00292,Apple Smartphones Model 292,Smartphones,Xiaomi,115427.01,65429.34
P00293,Xiaomi Headphones Model 293,Headphones,Samsung,34452.59,27205.08
P00294,Lenovo Smart Home Model 294,Smart Home,Sony,29252.62,21484.82
P00295,Acer Laptops Model 295,Laptops,LG,207074.81,160088.35
P00296,LG Headphones Model 296,Headphones,Apple,14094.84,10227.49
P00297,Logitech Accessories Model 297,Accessories,Asus,14952.07,11470.79
P00298,Samsung Headphones Model 298,Headphones,LG,27621.13,16112.83
P00299,Huawei Accessories Model 299,Accessories,Logitech,11196.54,6211.73
P00300,Asus Gaming Model 300,Gaming,Apple,117081.66,89146.12
P00301,LG Gaming Model 301,Gaming,Sony,64599.02,42090.37
P00302,Logitech Laptops Model 302,Laptops,LG,130961.18,80736.65
P00303,LG Smartphones Model 303,Smartphones,Apple,59347.35,42994.48
P00304,Huawei Gaming Model 304,Gaming,Xiaomi,93653.0,70342.06
P00305,LG Smartphones Model 305,Smartphones,Acer,51120.24,29809.41
P00306,Apple Smartphones Model 306,Smartphones,Huawei,22800.19,12940.73
P00307,Apple Smart Home Model 307,Smart Home,Sony,20572.16,15928.12
P00308,Lenovo Accessories Model 308,Accessories,Asus,7953.56,5436.97
P00309,Samsung Laptops Model 309,Laptops,Asus,158894.09,111005.96
P00310,Samsung TV Model 310,TV,Asus,133336.71,103467.81
P00311,Samsung Accessories Model 311,Accessories,Lenovo,6868.12,3914.38
P00312,Samsung TV Model 312,TV,Xiaomi,81184.4,52641.39
P00313,Asus Laptops Model 313,Laptops,Huawei,210499.87,118573.09
P00314,Lenovo TV Model 314,TV,Logitech,144175.09,81717.56
P00315,Lenovo Gaming Model 315,Gaming,Apple,88659.22,59652.49
P00316,LG Smartphones Model 316,Smartphones,Huawei,135172.05,85255.67
P00317,Lenovo Headphones Model 317,Headphones,Apple,21319.83,14848.75
P00318,Huawei Headphones Model 318,Headphones,Xiaomi,36212.92,24200.85
P00319,Huawei Smart Home Model 319,Smart Home,Logitech,32423.32,23058.67
P00320,Logitech Smartphones Model 320,Smartphones,Samsung,137521.76,109785.85
P00321,Acer Smart Home Model 321,Smart Home,Lenovo,2120.73,1679.66
P00322,Xiaomi Accessories Model 322,Accessories,Asus,1526.73,965.63
P00323,Lenovo TV Model 323,TV,Apple,179384.46,98867.77
P00324,Huawei Accessories Model 324,Accessories,Xiaomi,14740.09,9719.09
P00325,Apple Headphones Model 325,Headphones,Apple,18490.29,12819.91
P00326,Lenovo TV Model 326,TV,Logitech,84100.57,47693.04
P00327,Logitech TV Model 327,TV,Asus,46371.5,27929.38
P00328,Asus Smartphones Model 328,Smartphones,Logitech,46202.8,30065.43
P00329,Lenovo Accessories Model 329,Accessories,Lenovo,5870.04,3769.93
P00330,Lenovo Accessories Model 330,Accessories,Xiaomi,8722.02,5507.7
P00331,LG Headphones Model 331,Headphones,Sony,13245.1,8166.64
P00332,Xiaomi TV Model 332,TV,Apple,92501.42,72558.97
P00333,Samsung Accessories Model 333,Accessories,Acer,4564.2,3520.33
P00334,LG Accessories Model 334,Accessories,Huawei,12976.6,10127.4
P00335,Samsung Laptops Model 335,Laptops,Asus,49266.02,33196.7
P00336,Logitech Smartphones Model 336,Smartphones,Xiaomi,84222.94,57934.16
P00337,Huawei Accessories Model 337,Accessories,Samsung,4081.28,3062.2
P00338,Huawei Gaming Model 338,Gaming,Logitech,61245.68,37036.26
P00339,Huawei Smartphones Model 339,Smartphones,Samsung,54668.79,33842.49
P00340,Xiaomi Smartphones Model 340,Smartphones,Huawei,81887.12,64543.93
P00341,LG Gaming Model 341,Gaming,Xiaomi,7366.84,4445.89
P00342,Asus Smart Home Model 342,Smart Home,LG,38651.61,22325.44
P00343,Xiaomi Accessories Model 343,Accessories,Samsung,5222.09,3126.13
P00344,Lenovo Smart Home Model 344,Smart Home,Asus,49825.4,36861.7
P00345,Acer TV Model 345,TV,Apple,75917.28,54656.48
P00346,Sony Accessories Model 346,Accessories,Asus,7077.8,5011.85
P00347,Lenovo Smartphones Model 347,Smartphones,Asus,144270.41,100876.95
P00348,Acer Laptops Model 348,Laptops,Samsung,245621.8,168392.17
P00349,LG Smart Home Model 349,Smart Home,Asus,28270.11,15703.53
P00350,Xiaomi Gaming Model 350,Gaming,Apple,82062.28,60721.7
P00351,Lenovo Smart Home Model 351,Smart Home,LG,18600.94,14388.28
P00352,Acer Headphones Model 352,Headphones,Sony,24345.81,16518.88
P00353,Samsung Smartphones Model 353,Smartphones,Huawei,65947.8,49330.34
P00354,Samsung Smart Home Model 354,Smart Home,Lenovo,3707.67,2737.54
P00355,Xiaomi Headphones Model 355,Headphones,Logitech,17883.26,14105.71
P00356,Huawei Laptops Model 356,Laptops,Lenovo,182830.13,145713.44
P00357,LG TV Model 357,TV,Asus,65878.35,44086.8
P00358,Sony Accessories Model 358,Accessories,Logitech,14679.55,11719.08
P00359,Sony Gaming Model 359,Gaming,Logitech,92506.49,67590.92
P00360,Huawei Laptops Model 360,Laptops,Sony,191437.92,129119.93
P00361,Xiaomi Gaming Model 361,Gaming,Logitech,101256.29,57248.0
P00362,Acer Accessories Model 362,Accessories,Huawei,7920.2,5465.35
P00363,Apple Laptops Model 363,Laptops,Sony,96225.74,75561.24
P00364,Sony Smartphones Model 364,Smartphones,Xiaomi,144986.85,95746.28
P00365,Sony Smart Home Model 365,Smart Home,Lenovo,44521.05,31357.04
P00366,Asus Accessories Model 366,Accessories,Xiaomi,8480.94,6136.86
P00367,Lenovo Smart Home Model 367,Smart Home,Sony,10717.11,6419.15
P00368,Xiaomi TV Model 368,TV,Sony,123112.38,73274.65
P00369,Sony Headphones Model 369,Headphones,Acer,2155.25,1376.22
P00370,Asus TV Model 370,TV,Asus,78058.21,50895.28
P00371,Logitech TV Model 371,TV,Asus,80678.58,60163.97
P00372,Sony Headphones Model 372,Headphones,Huawei,6849.25,5078.51
P00373,Apple Smartphones Model 373,Smartphones,Asus,125903.65,85258.01
P00374,Xiaomi Headphones Model 374,Headphones,Sony,10506.01,6159.13
P00375,Huawei Accessories Model 375,Accessories,Logitech,13999.61,9753.42
P00376,Sony Headphones Model 376,Headphones,LG,14333.29,8668.18
P00377,Apple Gaming Model 377,Gaming,LG,62896.83,43592.03
P00378,Logitech Headphones Model 378,Headphones,Asus,4277.36,2604.94
P00379,Lenovo Laptops Model 379,Laptops,Asus,206360.09,133644.79
P00380,Acer Laptops Model 380,Laptops,Xiaomi,219058.65,141679.22
P00381,LG Headphones Model 381,Headphones,Sony,30190.28,17071.53
P00382,Logitech Gaming Model 382,Gaming,Xiaomi,69022.76,45171.39
